주소,y,x
서울시 금천구 두산로,37.47037416,126.8921581
서울시 금천구 가산로,37.47370174,126.8951213
서울시 금천구 시흥대로,37.45734339,126.8994062
서울시 금천구 탑골로,37.4520771,126.9137557
서울시 금천구 문성로,37.47659396,126.9078809
서울시 금천구 가산디지털2로,37.47796145,126.8791545
영등포로84길 24-5,37.51116875,126.9214422
디지털로 441,37.49545723,126.905842
대림로 197,37.49831352,126.8980344
당산로29길 7-1,37.52592796,126.894268
문래로20길 49,37.51685657,126.8908946
선유로43가길 10-8,37.53333254,126.8929389
당산로41길 11,37.53081125,126.898319
대방천로 169,37.49937388,126.9098438
여의대방로 372,37.51814195,126.9307706
양화동 1-18,37.54740748,126.8887217
도신로15길 11,37.50620386,126.8975779
영등포로29길 13,37.52209134,126.9002064
선유동1로 80,37.5286199,126.89449
도림로 482,37.51685634,126.8905415
신길로 275,37.51612662,126.9121264
선유로47길 30,37.53650136,126.8940394
당산로 123,37.52596316,126.8963671
신풍로 1,37.50054207,126.906305
문래동5가 32,37.5157933,126.8833501
문래로 110,37.51885225,126.8941147
국회대로 615,37.52669243,126.9027314
도신로15길 12,37.50660657,126.898367
양평동 51,37.53977057,126.8907998
영등포로53길 22,37.52038937,126.9106976
도림로 264,37.5016416,126.905219
양평로20길 14-1,37.53819707,126.8963069
선유로23길 18,37.52320479,126.8883166
대림로41길 12,37.50105725,126.8958533
서울시 관악구 봉천동,37.48022505,126.9543116
서울시 관악구 조원로,37.48488413,126.9132299
서울시 관악구 봉천로,37.483665,126.9446428
서울시 관악구 호암로,37.46446199,126.9305261
서울시 관악구 신림로,37.47247172,126.9375559
서울시 관악구 은천로,37.4877043,126.9458066
서울시 관악구 서림11길,37.47222426,126.9410329
서울시 관악구 인헌동,37.4714809,126.9672554
서울시 관악구 난곡로,37.47214292,126.9181403
서울시 관악구 신림동,37.4677467,126.9340317
서울시 관악구 조원중앙로,37.48301693,126.9068445
서울시 관악구 행운길,37.48079976,126.9599781
서울시 관악구 신림1동,37.47962095,126.9266413
강서로5길 50,37.52905997,126.8488982
강서로47길54,37.5531163,126.8331774
등촌로13자길 39-16,37.53731302,126.855795
강서로12길 14,37.53153099,126.8478603
등촌로5길 62-4,37.53318161,126.860019
강서로 263-29,37.5492163,126.8345682
양천로59길38,37.56059759,126.8596797
방화대로 334,37.5705477,126.8170735
허준로30,37.56948816,126.8447046
등촌로185,37.54648539,126.8623008
송정로45,37.55878281,126.8100743
공항대로42길23-19,37.55647912,126.844286
허준로87,37.56787245,126.8510312
방화동로 124-1,37.57155396,126.8122154
양천로251,37.57314342,126.8321468
개화동로13길12-8,37.57746622,126.8016003
곰달래로49길130,37.5367008,126.8545515
양천로 251,37.57314342,126.8321468
우장산로 114,37.553032,126.848514
서울특별시 구로구 고척로45길 1,37.50408079,126.8527795
서울특별시 구로구 벚꽃로 484,37.49733165,126.8801354
서울특별시 구로구 중앙로15길 22,37.50669208,126.8586053
서울특별시 구로구 가마산로 245,37.49551123,126.8882891
서울특별시 구로구 구일로 62,37.49177716,126.8743642
서울특별시 구로구 가마산로25길 21,37.49710269,126.8895491
서울특별시 구로구 오리로22길 5,37.49913459,126.8295642
서울특별시 구로구 고척로45길 39,37.50658124,126.8532759
서울특별시 구로구 구로중앙로28길 66,37.50010311,126.8893378
서울특별시 구로구 고척로45길 31,37.5053474,126.8530522
서울특별시 구로구 신도림로19길 108,37.5132153,126.8800668
서울특별시 구로구 새말로 121-15,37.50786379,126.8922179
서울특별시 구로구 오리로 1352,37.50221136,126.8292615
서울특별시 구로구 구로중앙로32가길 18,37.49994741,126.8850895
서울특별시 구로구 새말로18길 130,37.50109433,126.8922878
양천구 목동동로 81,37.51597606,126.8638545
양천구 가로공원로 133,37.53672614,126.8308283
양천구 오목로5길 34,37.52469581,126.8400811
양천구 신정1동 1051-11,37.51858229,126.8543292
양천구 신월로24길 19,37.52003276,126.8473669
양천구 가로공원로86,37.53521414,126.8254808
양천구 목동서로 339,37.51770616,126.8657394
양천구 목동동로87,37.51647622,126.8644106
양천구 목동동로 12길 7,37.52314371,126.8721536
양천구 월정로 289,37.54273654,126.8285893
양천구 목동서로 337,37.51771506,126.8663597
양천구 중앙로 250,37.51890134,126.8537493
양천구 중앙로46길 57,37.5229317,126.8584839
양천구 지양로 37,37.51907417,126.835606
양천구 목동동로1길 33,37.517159,126.8565585
양천구 남부순환로 33길 38,37.53833316,126.83146
양천구 신정동 산146,37.50608192,126.8365387
서울시 양천구 은행정로6길 23(신정동),37.5217908,126.8621681
양천구 목동중앙본로73,37.54280838,126.8690876
서울 양천구 가로공원로60가길 16,37.53426132,126.8266346
서울시 양천구 목동로3길 106,37.51044253,126.8586279
서울특별시 양천구 신월동1002-18,37.51633057,126.837923
서울 양천구 신정동321-8,37.51732364,126.8658544
서울특별시 양천구 신정로7길 81,37.51372539,126.8338175
양천구 목동중앙북로6길 5,37.54818453,126.8652286
서울 양천구 월정로 161-5 ,37.53301405,126.8360249
서울시 양천구 신월4동 436-6,37.52212134,126.8380699
서울시 양천구 신월7동 331-104,37.52265159,126.8281939
서울시 양천구 신정4동 882-11,37.5282909,126.8599541
서울시 양천구 신월3동 198-22,37.53126681,126.8302057
